Date,Close,High,Low,Open,Volume
2015-01-02,2066.48779296875,2074.300601259747,2054.768580532254,2074.300601259747,29302500
2015-01-05,2062.580810546875,2062.580810546875,2050.8616013960404,2054.7680044463186,25434500
2015-01-06,2046.9559326171875,2062.5815504234256,2031.3303148109494,2031.3303148109494,48681500
2015-01-07,2050.86279296875,2062.5820089285717,2039.1435770089286,2039.1435770089286,40334000
2015-01-08,2027.4237060546875,2054.7685344600495,2027.4237060546877,2050.862130402141,54457000
2015-01-09,2019.6107177734375,2043.0491400299957,2019.6107177734375,2035.236332611143,108957500
2015-01-12,2031.3304443359375,2031.3304443359373,2000.079206730769,2019.6112302339993,81651000
2015-01-13,2031.3304443359375,2039.1432537372295,2027.4240396352914,2039.1432537372295,36024000
2015-01-14,2019.6107177734375,2035.236332611143,2019.6107177734375,2035.236332611143,29728000
2015-01-15,2023.5179443359375,2039.1435655277207,2023.5179443359375,2023.5179443359375,27580500
2015-01-16,2023.5179443359375,2035.2371602297749,2023.5179443359375,2035.2371602297749,46354500
2015-01-19,2031.3304443359375,2035.2368490365834,2027.4240396352914,2027.4240396352914,26134500
2015-01-20,2035.2364501953125,2039.1428541304283,2019.6108344548495,2027.4236423250811,36285500
2015-01-21,2043.0499267578125,2062.5819528262427,2035.2371163304404,2039.1435215441265,73258000
2015-01-22,2062.580810546875,2066.487213597153,2039.1423922452059,2039.1423922452059,58654000
2015-01-23,2082.11328125,2093.8324929643527,2066.487665630863,2066.487665630863,121011000
2015-01-26,2054.7685546875,2093.8325956511408,2035.2365342056796,2082.1133833620484,103089000
2015-01-27,2062.580810546875,2066.487213597153,2050.8616013960404,2054.7680044463186,49988500
2015-01-28,2074.301025390625,2082.1138352791017,2054.769000669433,2058.675405613671,48230000
2015-01-29,2082.11328125,2082.11328125,2062.581261726079,2070.3940695356473,41599500
2015-01-30,2089.92626953125,2097.739078015479,2082.1134610470212,2093.8326737733646,94142500
2015-02-02,2086.020263671875,2089.9266686600245,2070.3946437192767,2086.020263671875,38816500
2015-02-03,2109.458251953125,2109.458251953125,2086.0198269314237,2089.9262311017073,67046500
2015-02-04,2171.96044921875,2187.586063961331,2105.5515865627813,2113.3643939340714,136306000
2015-02-05,2140.70947265625,2175.8671099808967,2089.9262187428717,2171.9607058337137,83923500
2015-02-06,2140.70947265625,2156.3350892449816,2132.896664361884,2152.4286850977987,54060500
2015-02-09,2156.33544921875,2171.9610684159875,2109.458591627038,2109.458591627038,68609000
2015-02-10,2148.5224609375,2171.960887784091,2132.8968430397726,2168.054483309659,50540500
2015-02-11,2175.8671875,2175.8671875,2140.709548922801,2152.4287617818673,46471500
2015-02-12,2171.96044921875,2179.7732565900405,2164.1476418474595,2175.8668529043953,58455500
2015-02-13,2191.493408203125,2226.651056463068,2183.680597478693,2187.587002840909,90653500
2015-02-16,2187.5869140625,2214.931750488281,2187.5869140625,2195.3997244698658,30501000
2015-02-17,2199.3056640625,2207.11847281583,2187.5864509325042,2187.5864509325042,47945000
2015-02-18,2199.3056640625,2273.5273472191384,2187.5864509325042,2218.837685945826,57782000
2015-02-20,2195.3994140625,2238.3698652274243,2195.3994140625,2234.4634605760675,25162000
2015-02-23,2191.493408203125,2222.744651100852,2183.680597478693,2199.3062189275565,55871500
2015-02-24,2195.3994140625,2199.3058187138568,2175.8673908057162,2195.3994140625,46482000
2015-02-25,2203.211669921875,2214.930880932098,2187.586055241578,2187.586055241578,39573000
2015-02-26,2199.3056640625,2214.9312815691605,2183.680046555839,2183.680046555839,63400500
2015-02-27,2203.211669921875,2211.0244772620235,2187.586055241578,2187.586055241578,91257500
2015-03-02,2222.744140625,2234.4633540202108,2203.2121182996484,2211.0249272297892,105783500
